"cell","true_cluster","estimated_cluster"
"Cell_1",3,1
"Cell_2",1,3
"Cell_3",4,4
"Cell_4",3,1
"Cell_5",4,4
"Cell_6",4,4
"Cell_7",1,3
"Cell_8",2,5
"Cell_9",1,3
"Cell_10",3,1
"Cell_11",2,5
"Cell_12",1,3
"Cell_13",5,2
"Cell_14",3,1
"Cell_15",2,5
"Cell_16",1,3
"Cell_17",3,1
"Cell_18",4,4
"Cell_19",2,5
"Cell_20",4,4
"Cell_21",1,3
"Cell_22",3,1
"Cell_23",2,5
"Cell_24",2,5
"Cell_25",2,5
"Cell_26",4,4
"Cell_27",5,2
"Cell_28",1,3
"Cell_29",3,1
"Cell_30",4,4
"Cell_31",1,3
"Cell_32",5,2
"Cell_33",4,4
"Cell_34",3,1
"Cell_35",2,5
"Cell_36",5,2
"Cell_37",3,1
"Cell_38",1,3
"Cell_39",4,4
"Cell_40",1,3
"Cell_41",2,5
"Cell_42",5,2
"Cell_43",1,3
"Cell_44",3,1
"Cell_45",3,1
"Cell_46",1,3
"Cell_47",4,4
"Cell_48",4,4
"Cell_49",4,2
"Cell_50",3,1
"Cell_51",2,5
"Cell_52",2,5
"Cell_53",3,1
"Cell_54",3,1
"Cell_55",1,3
"Cell_56",2,5
"Cell_57",5,2
"Cell_58",2,5
"Cell_59",4,4
"Cell_60",4,4
"Cell_61",4,4
"Cell_62",1,3
"Cell_63",3,1
"Cell_64",4,4
"Cell_65",2,5
"Cell_66",2,5
"Cell_67",5,2
"Cell_68",4,4
"Cell_69",5,2
"Cell_70",2,5
"Cell_71",3,1
"Cell_72",4,4
"Cell_73",4,4
"Cell_74",1,3
"Cell_75",2,5
"Cell_76",4,4
"Cell_77",2,5
"Cell_78",2,5
"Cell_79",2,5
"Cell_80",1,3
"Cell_81",5,2
"Cell_82",5,2
"Cell_83",3,1
"Cell_84",3,1
"Cell_85",2,5
"Cell_86",2,5
"Cell_87",4,4
"Cell_88",5,2
"Cell_89",1,3
"Cell_90",5,2
"Cell_91",3,1
"Cell_92",1,3
"Cell_93",4,4
"Cell_94",5,2
"Cell_95",2,5
"Cell_96",5,2
"Cell_97",3,1
"Cell_98",2,5
"Cell_99",3,1
"Cell_100",2,5
"Cell_101",4,4
"Cell_102",1,3
"Cell_103",1,3
"Cell_104",5,2
"Cell_105",2,5
"Cell_106",5,2
"Cell_107",3,1
"Cell_108",3,1
"Cell_109",3,1
"Cell_110",3,2
"Cell_111",5,2
"Cell_112",4,4
"Cell_113",4,4
"Cell_114",3,1
"Cell_115",2,5
"Cell_116",2,5
"Cell_117",4,4
"Cell_118",5,2
"Cell_119",4,4
"Cell_120",1,3
"Cell_121",4,4
"Cell_122",1,3
"Cell_123",2,5
"Cell_124",4,4
"Cell_125",1,3
"Cell_126",1,3
"Cell_127",3,1
"Cell_128",3,1
"Cell_129",3,1
"Cell_130",5,2
"Cell_131",5,2
"Cell_132",4,4
"Cell_133",4,2
"Cell_134",3,1
"Cell_135",4,4
"Cell_136",4,4
"Cell_137",2,5
"Cell_138",2,5
"Cell_139",5,2
"Cell_140",2,5
"Cell_141",2,5
"Cell_142",5,2
"Cell_143",5,2
"Cell_144",2,5
"Cell_145",2,5
"Cell_146",5,2
"Cell_147",2,5
"Cell_148",5,2
"Cell_149",3,1
"Cell_150",1,3
"Cell_151",4,4
"Cell_152",5,2
"Cell_153",2,5
"Cell_154",1,3
"Cell_155",5,2
"Cell_156",5,4
"Cell_157",3,1
"Cell_158",4,4
"Cell_159",1,3
"Cell_160",2,5
"Cell_161",4,4
"Cell_162",2,5
"Cell_163",2,5
"Cell_164",5,2
"Cell_165",4,4
"Cell_166",3,1
"Cell_167",2,5
"Cell_168",4,4
"Cell_169",3,1
"Cell_170",2,5
"Cell_171",2,5
"Cell_172",1,3
"Cell_173",1,3
"Cell_174",3,1
"Cell_175",3,1
"Cell_176",1,3
"Cell_177",4,4
"Cell_178",1,3
"Cell_179",5,2
"Cell_180",4,4
"Cell_181",2,5
"Cell_182",3,2
"Cell_183",2,5
"Cell_184",5,2
"Cell_185",2,5
"Cell_186",1,3
"Cell_187",2,5
"Cell_188",5,2
"Cell_189",2,5
"Cell_190",3,1
"Cell_191",1,3
"Cell_192",4,4
"Cell_193",2,5
"Cell_194",5,2
"Cell_195",5,2
"Cell_196",2,5
"Cell_197",2,5
"Cell_198",4,4
"Cell_199",2,5
"Cell_200",4,4
"Cell_201",2,5
"Cell_202",4,4
"Cell_203",1,3
"Cell_204",2,5
"Cell_205",3,1
"Cell_206",5,2
"Cell_207",1,3
"Cell_208",3,1
"Cell_209",2,5
"Cell_210",4,4
"Cell_211",2,5
"Cell_212",4,4
"Cell_213",5,2
"Cell_214",3,1
"Cell_215",5,2
"Cell_216",4,4
"Cell_217",4,4
"Cell_218",4,4
"Cell_219",5,2
"Cell_220",1,3
"Cell_221",4,4
"Cell_222",4,4
"Cell_223",5,2
"Cell_224",2,5
"Cell_225",2,5
"Cell_226",1,3
"Cell_227",5,2
"Cell_228",5,2
"Cell_229",1,3
"Cell_230",1,3
"Cell_231",4,4
"Cell_232",4,4
"Cell_233",3,1
"Cell_234",4,4
"Cell_235",5,2
"Cell_236",4,4
"Cell_237",1,3
"Cell_238",2,5
"Cell_239",5,2
"Cell_240",3,1
"Cell_241",5,2
"Cell_242",5,2
"Cell_243",4,4
"Cell_244",3,1
"Cell_245",1,3
"Cell_246",2,5
"Cell_247",3,1
"Cell_248",2,5
"Cell_249",1,3
"Cell_250",1,3
"Cell_251",3,1
"Cell_252",1,3
"Cell_253",3,1
"Cell_254",1,3
"Cell_255",1,3
"Cell_256",5,2
"Cell_257",2,5
"Cell_258",3,1
"Cell_259",1,3
"Cell_260",2,5
"Cell_261",2,5
"Cell_262",4,4
"Cell_263",2,5
"Cell_264",5,2
"Cell_265",3,1
"Cell_266",1,3
"Cell_267",3,2
"Cell_268",5,2
"Cell_269",5,2
"Cell_270",4,4
"Cell_271",4,4
"Cell_272",1,3
"Cell_273",2,5
"Cell_274",1,3
"Cell_275",1,3
"Cell_276",2,5
"Cell_277",3,1
"Cell_278",4,4
"Cell_279",3,1
"Cell_280",2,5
"Cell_281",2,5
"Cell_282",3,1
"Cell_283",2,5
"Cell_284",3,1
"Cell_285",1,3
"Cell_286",1,3
"Cell_287",3,1
"Cell_288",1,3
"Cell_289",1,3
"Cell_290",2,5
"Cell_291",2,5
"Cell_292",1,3
"Cell_293",3,1
"Cell_294",4,4
"Cell_295",3,1
"Cell_296",4,4
"Cell_297",5,2
"Cell_298",5,2
"Cell_299",2,5
"Cell_300",3,1
"Cell_301",4,4
"Cell_302",3,1
"Cell_303",1,3
"Cell_304",2,5
"Cell_305",1,3
"Cell_306",4,2
"Cell_307",2,5
"Cell_308",1,3
"Cell_309",1,3
"Cell_310",5,2
"Cell_311",1,3
"Cell_312",1,3
"Cell_313",1,3
"Cell_314",4,4
"Cell_315",3,1
"Cell_316",5,2
"Cell_317",5,2
"Cell_318",2,5
"Cell_319",2,5
"Cell_320",5,2
"Cell_321",1,3
"Cell_322",1,3
"Cell_323",5,2
"Cell_324",2,5
"Cell_325",2,5
"Cell_326",5,2
"Cell_327",4,4
"Cell_328",5,2
"Cell_329",1,3
"Cell_330",3,1
"Cell_331",3,1
"Cell_332",4,2
"Cell_333",1,3
"Cell_334",2,5
"Cell_335",1,3
"Cell_336",2,5
"Cell_337",2,5
"Cell_338",3,1
"Cell_339",1,3
"Cell_340",4,4
"Cell_341",5,2
"Cell_342",1,3
"Cell_343",2,5
"Cell_344",5,2
"Cell_345",1,3
"Cell_346",4,4
"Cell_347",5,2
"Cell_348",2,5
"Cell_349",1,3
"Cell_350",2,5
"Cell_351",3,1
"Cell_352",2,5
"Cell_353",5,2
"Cell_354",1,3
"Cell_355",5,2
"Cell_356",2,5
"Cell_357",5,2
"Cell_358",4,4
"Cell_359",1,3
"Cell_360",4,4
"Cell_361",4,4
"Cell_362",1,3
"Cell_363",2,5
"Cell_364",2,5
"Cell_365",4,4
"Cell_366",5,2
"Cell_367",3,1
"Cell_368",3,1
"Cell_369",1,3
"Cell_370",5,2
"Cell_371",4,4
"Cell_372",4,4
"Cell_373",4,4
"Cell_374",3,1
"Cell_375",4,4
"Cell_376",4,4
"Cell_377",2,5
"Cell_378",2,5
"Cell_379",2,5
"Cell_380",3,1
"Cell_381",1,3
"Cell_382",3,1
"Cell_383",5,1
"Cell_384",4,4
"Cell_385",4,4
"Cell_386",1,3
"Cell_387",2,5
"Cell_388",4,4
"Cell_389",5,2
"Cell_390",5,2
"Cell_391",1,3
"Cell_392",5,2
"Cell_393",2,5
"Cell_394",4,4
